10013 — Super long sums [UVA]
12452 — Plants vs. Zombies HD SP (UVA)
12466 — Ancestors (UVA)
124 — Following Orders [UVA]
12530 — Game of Tiles
12549 — Sentry Robots
12644 — Vocabulary
12831 — Bob the Builder
12891 — Risk of Trading
12910 — Snakes and Ladders [UVA]
12924 — Immortal Rabbits [UVA]
12927 — Points Cover (UVA)
12934 — Factorial Division [UVA]
12944 — Earthquake Disaster
12963 — Astragalus Nitidiflorus
12972 — Cuban Challenge (UVA)
13000 — VIP Treatment (+BS)
1306 — The K-League (UVA)
13083 — Yet another GCDSUM
13089 — Golden Coins (UVA)
13116 UVA (4)
13150 (UVA) 4
13152 UVA (4)
13153 UVA (5)
13154 (UVA) 7
13162 UVA (6)
13164 UVA (7)
13166 (UVA) 5
13169 UVA (3)
13170 UVA (7)
13171 UVA (1)
13172 UVA (5)
13173 UVA (3)
13175 UVA (2)
13176 (4)
13177 UVA (3)
13179 (5)
13182 UVA 5
13183 UVA (6)
13184 UVA (3)
13186 UVA (6)
13189 UVA (4)
13191 UVA (6)
13194 UVA (3)
13207 UVA (4)
13208 UVA (4)
13209 UVA (3)
13211 UVA (5)
13212 UVA (3)
13213 UVA 5
13214 (4)
13215 UVA 3
13246 — Chained Words (4)
13257 — License Plates UVA
13282 Cakey McCakeFace (3)
13284 Macarons (4)
13286 — Ingredients (4)
13287 — Shattered Cake (2)
13288 — Cordon Bleu (6)
1345 — Jamie's Contact Groups
1376 — Animal Run
200 — Rare Order [UVA]
2015-2016 CTU Open Contest: Chasing the Cheetah
2243 [LA]
2308 LA
2407 [LA]
2453 — Wall [LA]
2542 [LA]
2559 [LA]
259 — Software Allocation (UVA)
2642 [LA]
2755 [LA]
2819 [LA]
2827 [LA]
2871 — Rhyme Schemes [LA][BELL]
2883 LA
2931 LA
314 UVA (3)
315 — Network
3189 LA
3305 [LA]
3346 — Perfect Domination on Trees (same as above -_-)
3378 — Swamp Things [LA] — Maximum points on line
3396 — Alphabetics (2)
3415 — Guardian of Decency (LA)
3487 — Duopoly (Near matching)
3673 — Black-White Grid (UVA)
3725 [LA]
3803 [LA]
3837 [LA]
3850 [LA]
3917
3939 [LA]
3943 LA
4322 — Destroying the bus stations (Live Archive)
4507 LA (5)
4510 LA (5) [+ geometry]
4513 LA 6
4956 [LA]
4957 — Fake scoreboard (LA)
495 — Fibonacci Freeze [UVA]
4963 [LA]
5418 — A Plug for UNIX (LA)
5603 [LA]
5622 LA (7)
563 — Crimewave
5905 — Pool construction (LA)
6151 — Beehives (4)
6154 RNA Secondary Structure (5)
6157 How do spiders walk on water? (4)
6160 — Countdown (5)
619 — Numerically Speaking [UVA]
6234 — Tile Cut (LA)
623 — 500! [UVA]
6263 [LA]
6395 — Surely You Congest (LA)
6525 — Attacking rooks (LA)
6571 — It Can Be Arranged
657 — The die is cast [UVA]
6582 — Magical GCD (4)
6583 Subway (5)
6584 — Escape (8)
6585 — Draughts (4)
6589 — Captain Obvious and the Rabbit-Man (7)
6590 Digraphs (4)
6591 — Bus (2)
6829 — Intrepid climber (LA)
6851 — The Programmers (LA)
6856 — Circle of digits
6861 [LA]
6886 — Golf Bot [LA]
6887 — Book Club
713 — Adding Reversed Numbers [UVA]
7204 — Blood groups (LA)
7502 [LA]
7589 Rearranging a Sequence (3)
7591 — Distribution Center (4)
7601 — Football (3)
7606 — Percolation (3)
7613 Relative atomic mass (1)
7616 Counting Cliques (4)
7619 — Guessing the Dice Roll (5)
7629 — Powers (3)
7649 — Performance Review (LA)
7651 — Pascal's Hyper-Pyramids [LA]
7671 What a Beautiful Lake (2)
7673 — What a Simple Research (2)
7691 — Falling Apples (3)
7692 — Square Deal (4)
7701 — Favorite music
7702 — Castle
7703 — Reading Digits (2)
7706 — Pokemons (2)
7708 — Cubes (6)
7726 A Simple Math Problem (4)
7730 To begin or not to begin (3)
7743 — Cliques (Similar to ADAPARTI) (8)
7785 — m-ary Partitions (4)
7821 — Elections (4)
787 — Maximum Sub-sequence Product [UVA]
7886 — Assigning Teams (2)
7887 — Back to the Future (4)
7892 — Game of Matchings (6)
7899 — Mr. Panda and Strips (4)
7903 — Pandaria (7)
7921 — Anticlockwise Motion (4)
7948 Periodic Strings (2)
7951 — Islands (3)
796 — Critical Links
7977 — The Key to Cryptography (2)
7979 — Red Rover (3)
7985 — Bumper-to-Bumper Traffic (4)
7988 Flow Shop (3)
7998 — Election (3)
8000 — FizzBuzz (1)
8012 — Voting Fraud (1)
8014 — Birthday Pizza Party (4)
8015 — Alice and Bob play Contact (5)
8017 — Mancunian and Sonu Generate Strings (5)
8024 Stack Construction (4)
8025 — Stacking Cups (2)
8037 — Military Service (2)
8078 — Bracket Sequence (4)
8080 — Christmas Tree (3)
8085 — Divisors (4)
8086 Substring Sorting (7)
8253 — Boss Battle LA
8255 — Dunglish LA
8257 — Factor-Free Tree LA
8259 — High Score LA
8260 Installing Apps (4)
8262 — Knockout Tournament (4) [LA]
8299 — Bricks (5)
872 — Ordering [UVA]
908 — Re-connecting Computer Sites [UVA]
928 UVA (3)
abc084.contest.atcoder.jp/tasks/abc084_c (3)
arc087.contest.atcoder.jp/tasks/arc087_a (2)
arc087.contest.atcoder.jp/tasks/arc087_b (4)
arc087.contest.atcoder.jp/tasks/arc087_c (5)
BLINNET SPOJ (3)
codechef.com/AUG16/problems/SHAIKHGN
codechef.com/problems/ALLPOLY
codechef.com/problems/APRPS
codechef.com/problems/ASTRING
codechef.com/problems/CHEFELEC
codechef.com/problems/CHEFKEY
codechef.com/problems/CHEFNUMK
codechef.com/problems/CHEFYODA
codechef.com/problems/CHSTR
codechef.com/problems/CLOSEFAR
codechef.com/problems/CNTPRIME
codechef.com/problems/COLTREE
codechef.com/problems/COPRIME3
codechef.com/problems/COZIC
codechef.com/problems/COZIE
codechef.com/problems/DISTNUM3
codechef.com/problems/FRJUMP
codechef.com/problems/HOGON
codechef.com/problems/INSQ16F
codechef.com/problems/KBIGNUMB
codechef.com/problems/KTHCON
codechef.com/problems/LYRC (5)
codechef.com/problems/MGCHGEOM
codechef.com/problems/POLYEVAL
codechef.com/problems/PSHTTR
codechef.com/problems/ROBOTDAG
codechef.com/problems/SMPLSUM
codechef.com/problems/TOMJERGA
codechef.com/problems/TRANDED
codechef.com/problems/TWOCOINS
code-festival-2017-qualc.contest.atcoder.jp/tasks/code_festival_2017_qualc_b (2)
code-festival-2017-qualc.contest.atcoder.jp/tasks/code_festival_2017_qualc_c (3)
code-festival-2017-qualc.contest.atcoder.jp/tasks/code_festival_2017_qualc_d (4)
codeforces.com/contest/1000/problem/E
codeforces.com/contest/102/problem/A (2)
codeforces.com/contest/102/problem/B (2)
codeforces.com/contest/102/problem/C (3)
codeforces.com/contest/102/problem/D (4)
codeforces.com/contest/106/problem/A (1)
codeforces.com/contest/106/problem/B (2)
codeforces.com/contest/106/problem/C (3)
codeforces.com/contest/107/problem/D (5)
codeforces.com/contest/108/problem/A (1)
codeforces.com/contest/108/problem/B (2)
codeforces.com/contest/108/problem/D (4)
codeforces.com/contest/109/problem/D (5)
codeforces.com/contest/10/problem/D (4)
codeforces.com/contest/110/problem/A (1)
codeforces.com/contest/110/problem/B (2)
codeforces.com/contest/110/problem/C (3)
codeforces.com/contest/110/problem/D (4)
codeforces.com/contest/110/problem/E (4)
codeforces.com/contest/111/problem/D (5)
codeforces.com/contest/112/problem/A (1)
codeforces.com/contest/112/problem/C (3)
codeforces.com/contest/112/problem/D (4)
codeforces.com/contest/114/problem/B (3)
codeforces.com/contest/114/problem/D (4)
codeforces.com/contest/114/problem/E (5)
codeforces.com/contest/115/problem/E (5)
codeforces.com/contest/116/problem/B (3)
codeforces.com/contest/116/problem/C (2)
codeforces.com/contest/116/problem/D (3)
codeforces.com/contest/116/problem/E (6)
codeforces.com/contest/117/problem/C (5)
codeforces.com/contest/118/problem/A (1)
codeforces.com/contest/118/problem/B (2)
codeforces.com/contest/118/problem/C (4)
codeforces.com/contest/118/problem/D (3)
codeforces.com/contest/118/problem/E (4)
codeforces.com/contest/119/problem/A (2)
codeforces.com/contest/119/problem/D (7)
codeforces.com/contest/11/problem/B (3)
codeforces.com/contest/120/problem/A (1)
codeforces.com/contest/120/problem/B (1)
codeforces.com/contest/120/problem/C (1)
